"";"Species";"Genome Source";"Genome Assembly"
"1";"Callithrix jacchus";"NCBI";"ASM275486v1"
"2";"Castor canadensis";"NCBI";"C.can genome v1.0"
"3";"Cebus capucinus";"Ensembl41";"Cebus_imitator-1.0"
"4";"Cercocebus atys";"Ensembl41";"Caty_1.0"
"5";"Cercopithecus mitis";"targeted resequencing, Enard Lab";"-"
"6";"Chlorocebus aethiops";"targeted resequencing, Enard Lab";"-"
"7";"Chlorocebus sabeus";"NCBI";"chlSab2.fa"
"8";"Dasypus novemcinctus";"NCBI";"dasNov3.fa"
"9";"Delphinapterus leucas";"NCBI";"ASM228892v3"
"10";"Elephantulus edwardii";"NCBI";"EleEdw1.0"
"11";"Erythrocebus patas";"NCBI";"EryPat_v1_BIUU"
"12";"Felis catus";"Ensembl41";"Felis_catus_9.0"
"13";"Gorilla gorilla";"NCBI";"Kamilah_GGO_v0"
"14";"Heterocephalus glaber";"NCBI";"hetGla2.fa"
"15";"Homo sapiens";"targeted resequencing, Enard Lab";"-"
"16";"Lipotes vexillifer";"NCBI";"Lipotes_vexillifer_v1"
"17";"Macaca fascicularis";"Ensembl41";"Macaca_fascicularis_5.0"
"18";"Macaca leonia";"targeted resequencing, Enard Lab";"-"
"19";"Macaca mulatta";"NCBI";"rheMac8.fa"
"20";"Macaca nemestrina";"Ensembl41";"Mnem_1.0"
"21";"Mandrillus sphinx";"targeted resequencing, Enard Lab";"-"
"22";"Microcebus murinus";"NCBI";"micMur2.fa"
"23";"Mus caroli";"Ensembl41";"CAROLI_EIJ_v1.1"
"24";"Mus musculus";"NCBI";"mm10.fa"
"25";"Mus pahari";"Ensembl41";"PAHARI_EIJ_v1.1"
"26";"Mus spretus";"Ensembl41";"SPRET_EiJ_v1"
"27";"Mustela putorius";"cDNA, Goetz Lab";"-"
"28";"Odocoileus virginianus";"NCBI";"Ovir.te_1.0"
"29";"Orcinus orca";"NCBI";"Oorc_1.1"
"30";"Otolemur garnettii";"NCBI";"otoGar3.fa"
"31";"Pan troglodytes";"NCBI";"panTro6"
"32";"Panthera pardus";"Ensembl41";"PanPar1.0"
"33";"Papio anubis";"targeted resequencing, Enard Lab";"-"
"34";"Papio hamadryas";"NCBI";"papHam1.fa"
"35";"Phoca vitulina";"NCBI";"GSC_HSeal_1.0"
"36";"Physeter catodon";"NCBI";"Physeter_macrocephalus-2.0.2"
"37";"Piliocolobus tephrosceles";"NCBI";"ASM277652v1"
"38";"Pongo abelii";"NCBI";"ponAbe3"
"39";"Procavia capensis";"NCBI";"proCap1.fa"
"40";"Propithecus coquereli";"Ensembl41";"Pcoq_1.0"
"41";"Rattus norvegicus";"NCBI";"rn6.fa"
"42";"Sus scrofa";"NCBI";"susScr3.fa"
"43";"Theropithecus gelada";"NCBI";"Tgel_1.0"
"44";"Tursiops truncatus";"NCBI";"Tur_tru v1"
"45";"Zalophus californianus";"NCBI";"zalCal2.2"
